    KEYS    |   VALUES   
     26     |     -1     
     13     |     -1     
     -1     |     0      
     14     |     -1     
     -2     |     1      
     -2     |     1      
     13     |     -1     
     -1     |     2      
     14     |     -1     
     5      |     -1     
     -1     |     2      
     -2     |     1      
     13     |     -1     
     -1     |     3      
     14     |     -1     
     5      |     -1     
     -1     |     2      
     17     |     -1     
     26     |     -1     
     -2     |     4      
     5      |     -1     
     -1     |     5      
     22     |     -1     
     -2     |     4      
     6      |     -1     
     -1     |     0      
     22     |     -1     
     -2     |     4      
     5      |     -1     
     -2     |     4      
     0      |     -1     
     -1     |     3      
     17     |     -1     
     -2     |     1      
     13     |     -1     
     -2     |     4      
     14     |     -1     
     5      |     -1     
     -1     |     3      
     18     |     -1     
     17     |     -1     
     26     |     -1     
     -2     |     4      
     5      |     -1     
     -1     |     5      
     22     |     -1     
     -2     |     4      
     6      |     -1     
     -1     |     0      
     22     |     -1     
     -2     |     4      
     5      |     -1     
     -2     |     4      
     0      |     -1     
     -1     |     3      
     17     |     -1     
     17     |     -1     
     26     |     -1     
     -2     |     6      
     5      |     -1     
     -2     |     4      
     2      |     -1     
     -1     |     5      
     22     |     -1     
     -2     |     6      
     6      |     -1     
     -1     |     0      
     22     |     -1     
     -2     |     6      
     5      |     -1     
     -2     |     6      
     0      |     -1     
     -2     |     4      
     17     |     -1     
     -2     |     1      
     13     |     -1     
     -2     |     6      
     14     |     -1     
     5      |     -1     
     -1     |     2      
     18     |     -1     
     18     |     -1     
